"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"NVDA","英伟达","222.270","+2.930","+1.34%","5356707000000.00","190287428","42069339861.00","222.500","222.530","300","600","219.350","219.340","222.730","218.030","1.86","-33.33%","2.14%","45.361","0.82%","0.50%","+0.78%","+1.82%","-2.60%","+2.61%","+11.82%","+32.99%","+26.11%","+19.46%","半导体"
"AAPL","苹果","336.130","-0.870","-0.26%","4905541723400.00","86588203","29099784713.00","334.750","334.880","440","40","337.905","337.000","338.490","332.530","2.21","83.33%","1.77%","45.057","0.59%","0.06%","-0.01%","+1.16%","+2.41%","+7.98%","+14.79%","+35.34%","+37.42%","+23.98%","消费电子产品"
"GOOGL","谷歌-A","349.540","+2.210","+0.64%","4274874200000.00","47631754","16757269141.00","350.810","350.870","1400","80","357.305","347.330","359.440","348.445","1.96","89.19%","3.17%","32.334","0.45%","0.34%","-0.05%","+3.26%","+2.13%","+2.67%","+1.30%","+27.57%","+37.58%","+11.89%","互联网内容与信息"
"GOOG","谷歌-C","344.410","+0.730","+0.21%","4212134300000.00","34108869","11839849162.00","346.080","346.110","40","80","351.220","343.680","355.130","343.870","2.12","-33.33%","3.28%","31.860","0.31%","0.17%","-0.30%","+2.67%","+1.64%","+1.90%","-0.12%","+25.96%","+35.29%","+9.97%","互联网内容与信息"
"MSFT","微软","493.780","-3.970","-0.80%","3666585852545.98","39622288","19587787759.00","493.780","494.000","80","80","497.965","497.750","498.650","491.100","2.17","0.00%","1.52%","27.508","0.53%","0.19%","-0.05%","-0.37%","-3.20%","+2.62%","+35.37%","+38.96%","-3.88%","+2.75%","软件基础设施"
"AMZN","亚马逊","253.710","+2.520","+1.00%","2736595616352.12","52274713","13252277897.00","254.010","254.230","100","100","252.920","251.190","255.430","251.880","1.61","0.00%","1.41%","35.384","0.53%","0.12%","-0.06%","-1.20%","-2.00%","-2.46%","+8.30%","+27.28%","+9.60%","+9.92%","互联网零售"
"TSM","台积电","434.670","+4.410","+1.02%","2254418086621.68","12905093","5586926379.00","433.260","433.560","40","80","429.040","430.260","434.817","428.980","1.12","-33.33%","1.36%","42.369","0.28%","0.59%","+0.59%","+0.60%","+4.51%","+4.77%","-1.13%","+33.70%","+65.81%","+44.15%","半导体"
"SPCX","SpaceX","152.710","-2.100","-1.36%","2012989615400.95","335670483","51221543303.00","152.640","152.650","100","100","154.600","154.810","156.600","149.930","4.04","0.00%","4.31%","亏损","14.94%","0.33%","-0.01%","+0.99%","+1.98%","+13.96%","-1.18%","+13.12%","+13.12%","+13.12%","航空航天与国防"
"AVGO","博通","357.610","+10.310","+2.97%","1707097776022.65","44032802","15728354604.00","356.850","357.000","40","520","352.080","347.300","363.282","351.330","1.74","-85.71%","3.44%","74.970","0.95%","0.09%","+0.26%","-1.21%","+0.13%","-1.76%","-6.40%","+19.12%","+4.43%","+3.71%","半导体"
"META","Meta Platforms","665.750","-16.560","-2.43%","1696002269293.75","27596431","18549286161.00","668.390","668.580","520","1200","688.620","682.310","690.150","660.800","1.54","-39.53%","4.30%","28.341","1.26%","0.22%","-0.00%","+2.73%","+9.02%","+21.97%","+19.38%","+26.75%","-14.19%","+1.04%","互联网内容与信息"
"TSLA","特斯拉","364.270","-1.930","-0.53%","1438701629212.38","51922256","18942075480.00","364.180","364.190","40","480","369.000","366.200","370.900","360.751","1.58","-84.62%","2.77%","337.287","1.84%","-0.10%","-0.12%","-0.32%","-3.21%","+5.55%","-3.00%","+0.67%","-14.50%","-19.00%","汽车制造"
"SKHY","SK海力士","187.500","+4.510","+2.46%","1366622812500.00","71104163","13310107927.00","187.760","187.960","1300","200","184.910","182.990","192.010","182.800","4.22","73.33%","5.03%","43.952","1.22%","0.07%","-0.90%","-1.35%","+14.55%","+14.97%","+25.84%","+25.84%","+25.84%","+25.84%","半导体"
"MU","美光科技","1015.800","+38.300","+3.92%","1147237562785.80","35803503","35853382771.00","1017.700","1017.790","40","440","984.715","977.500","1016.440","977.830","1.57","-83.33%","3.95%","133.833","3.29%","0.14%","+0.69%","+4.16%","+6.02%","+4.26%","-3.10%","+184.53%","+525.23%","+256.11%","半导体"
"BRK.B","伯克希尔-B","509.770","+0.570","+0.11%","1091269818772.97","12497083","6365091086.00","510.000","510.300","480","440","507.160","509.200","512.065","506.130","2.76","4.35%","1.17%","16.423","0.71%","0.05%","+0.10%","-0.12%","+0.32%","+2.60%","+3.02%","+8.81%","+3.43%","+1.42%","多元化保险"
"BRK.A","伯克希尔-A","763600.010","-335.940","-0.04%","1089764118271.40","568","434034446.00","759009.000","784000.000","1","1","762951.000","763935.950","769764.240","760024.000","2.43","0.00%","1.28%","16.399","0.05%","-0.18%","-0.01%","-0.31%","+0.08%","+2.55%","+2.79%","+8.51%","+3.13%","+1.17%","多元化保险"
"LLY","礼来","1152.930","+0.490","+0.04%","1085318800950.45","4549953","5240132038.00","1150.860","1156.750","40","80","1150.000","1152.440","1157.600","1140.270","2.46","-33.33%","1.50%","50.236","0.48%","0.15%","+0.09%","+3.34%","-0.58%","-7.35%","+3.34%","+31.69%","+54.28%","+7.80%","一般药品制造商"
"JPM","摩根大通","349.670","+0.360","+0.10%","929487966805.65","18312433","6387116709.00","349.080","349.470","80","40","347.890","349.310","349.670","345.010","2.08","33.33%","1.33%","17.466","0.69%","0.30%","+0.25%","-1.84%","-3.42%","-0.53%","+5.34%","+24.82%","+13.21%","+10.06%","多元化银行"
"AMD","美国超微公司","559.820","+14.730","+2.70%","913892178012.44","31867285","17609094486.00","557.220","557.980","100","1000","547.370","545.090","559.910","541.530","1.40","-81.82%","3.37%","211.252","1.99%","0.09%","+1.28%","+8.46%","+22.72%","+19.25%","+7.71%","+177.15%","+255.69%","+161.40%","半导体"
"WMT","沃尔玛","106.730","-0.060","-0.06%","846768736301.93","45337636","4845717831.00","106.800","106.930","300","100","106.240","106.790","107.715","106.170","2.31","50.00%","1.45%","39.095","1.04%","-0.03%","-0.43%","-0.39%","-1.56%","+3.03%","-10.10%","-12.78%","+5.18%","-3.59%","折扣店"
"V","Visa","368.290","-1.640","-0.44%","688833138337.11","19583008","7215930404.00","368.500","368.690","160","320","368.560","369.930","370.800","366.932","3.67","-33.33%","1.05%","36.106","1.13%","0.27%","-0.33%","-0.58%","-2.76%","+0.70%","+11.06%","+25.11%","+8.67%","+5.64%","信贷"
"XOM","埃克森美孚","163.540","+0.270","+0.17%","672462081938.40","37640556","6145735263.00","163.200","163.360","100","100","162.500","163.270","163.540","161.310","3.02","0.00%","1.37%","24.408","0.92%","0.46%","+0.49%","-1.48%","+0.82%","-1.57%","+20.23%","-3.08%","+49.16%","+38.62%","综合油气"
"JNJ","强生","269.990","-0.230","-0.09%","650648522204.03","16428384","4436716772.00","269.800","270.380","200","100","269.450","270.220","272.110","267.198","3.07","33.33%","1.82%","24.477","0.68%","-0.19%","-0.27%","+1.66%","-3.03%","+1.48%","+12.58%","+13.49%","+56.69%","+32.56%","一般药品制造商"
"ASML","阿斯麦","1679.920","+50.250","+3.08%","645257272000.00","2527195","4212069102.00","1670.510","1673.560","20","100","1630.000","1629.670","1681.610","1628.270","1.72","-66.67%","3.27%","59.243","0.66%","0.12%","+0.80%","-1.08%","+2.05%","-4.02%","-4.58%","+29.43%","+81.41%","+57.78%","半导体设备与材料"
"INTC","英特尔","108.600","-0.200","-0.18%","570529075250.40","174996654","18967594928.00","109.060","109.090","200","100","109.795","108.800","110.490","106.400","1.60","33.33%","3.76%","亏损","3.64%","-0.00%","+0.18%","+5.50%","+18.47%","+17.88%","-17.51%","+151.80%","+267.14%","+194.31%","半导体"
"MA","万事达","565.240","-0.490","-0.09%","495155858485.60","5439916","3075259097.00","565.240","566.300","440","80","564.950","565.730","568.430","561.900","2.44","69.23%","1.15%","34.215","0.63%","0.20%","-0.29%","-0.69%","-3.49%","-1.50%","+14.52%","+17.12%","-2.64%","-0.50%","信贷"
"ABBV","艾伯维公司","263.960","-0.060","-0.02%","466448278548.60","8176607","2158505216.00","263.000","266.000","200","100","263.290","264.020","266.340","262.440","1.94","33.33%","1.48%","111.847","0.46%","0.01%","-0.10%","+2.66%","+1.44%","+0.81%","+13.18%","+28.01%","+22.33%","+18.26%","一般药品制造商"
"ORCL","甲骨文","147.610","-2.980","-1.98%","446333670960.00","39324905","5780433148.00","147.500","147.550","1000","100","150.470","150.590","150.900","144.400","0.89","81.82%","4.32%","25.319","2.12%","0.01%","-0.06%","-1.78%","-4.17%","+3.90%","-5.97%","+6.43%","-51.63%","-23.54%","软件基础设施"
"CSCO","思科","109.510","-0.730","-0.66%","431752688462.23","41295921","4524672057.00","109.480","109.600","200","100","110.350","110.240","110.807","108.090","2.68","33.33%","2.46%","32.885","1.05%","-0.09%","+0.33%","-2.34%","+0.83%","-0.07%","-8.19%","+38.28%","+63.87%","+44.24%","通讯设备"
"PLTR","Palantir","177.640","+1.400","+0.79%","426879308387.20","39302689","6943390446.00","177.370","177.500","2600","800","177.180","176.240","177.750","172.000","1.62","52.94%","3.26%","281.968","1.86%","0.01%","+0.27%","+6.22%","-2.68%","+2.12%","+56.51%","+24.17%","-2.60%","-0.06%","软件基础设施"
"CVX","雪佛龙","209.510","-2.060","-0.97%","413943839615.74","47298736","9915832136.00","209.040","209.500","100","100","211.085","211.570","211.900","207.310","5.77","0.00%","2.17%","31.600","2.51%","0.20%","+0.11%","-2.13%","-0.86%","+1.82%","+23.27%","+1.01%","+39.41%","+41.30%","综合油气"
"BAC","美国银行","57.730","-0.450","-0.77%","403691363111.45","52483860","3033151409.00","57.730","57.750","400","300","57.520","58.180","58.230","57.520","1.13","14.29%","1.22%","15.152","0.75%","0.05%","-0.16%","-7.91%","-7.96%","-6.20%","+0.51%","+24.18%","+12.84%","+6.65%","多元化银行"
"COST","好市多","895.310","+1.380","+0.15%","397051008009.24","4180440","3742705364.00","896.650","896.950","80","80","892.425","893.930","898.400","890.550","1.99","0.00%","0.88%","49.165","0.95%","-0.14%","-0.21%","-1.05%","-3.25%","-4.09%","-6.70%","-8.72%","-5.32%","+4.28%","折扣店"
"KO","可口可乐","88.250","+0.190","+0.22%","379699970694.75","28048232","2471535678.00","88.100","88.210","300","200","87.800","88.060","88.285","87.520","1.96","20.00%","0.87%","29.029","0.72%","-0.15%","+0.19%","+0.55%","-0.04%","-1.90%","+10.14%","+18.02%","+36.38%","+28.69%","非酒精饮料"
"CAT","卡特彼勒","808.990","+10.420","+1.30%","371872388452.11","4790973","3864837451.00","808.500","809.450","80","80","800.790","798.570","809.485","799.570","2.01","0.00%","1.24%","43.008","1.05%","0.06%","+0.11%","-1.17%","+1.11%","-0.78%","-18.50%","+16.77%","+74.96%","+42.08%","农业和重型机械"
"MRK","默沙东","146.870","-0.280","-0.19%","362353498473.06","31159667","4574268855.00","146.400","146.740","100","100","147.080","147.150","147.840","145.740","3.64","0.00%","1.43%","20.174","1.27%","0.18%","+0.10%","+2.64%","-3.02%","-0.84%","+22.50%","+24.38%","+85.48%","+42.41%","一般药品制造商"
"DELL","戴尔科技","568.060","-20.340","-3.46%","361179790765.00","11739108","6744347947.00","571.000","571.100","900","1200","593.150","588.400","595.510","568.060","1.04","-14.29%","4.67%","65.444","4.02%","-0.25%","-0.92%","+0.14%","+10.01%","+30.65%","+31.09%","+232.20%","+336.03%","+355.40%","计算机硬件"
"LRCX","泛林集团","288.110","+18.800","+6.98%","360518093310.00","19636004","5594758169.00","287.710","288.500","100","100","274.410","269.310","288.270","272.640","1.91","0.00%","5.80%","50.019","1.58%","0.01%","+0.76%","-3.39%","-1.55%","-7.22%","-23.13%","+36.38%","+128.26%","+68.63%","半导体设备与材料"
"AMAT","应用材料","444.570","+27.170","+6.51%","352809615234.51","14302926","6276968238.00","443.450","443.600","80","200","421.690","417.400","445.000","420.000","2.31","-42.86%","5.99%","51.336","1.81%","0.05%","+0.69%","-2.61%","+1.99%","-10.41%","-24.44%","+32.16%","+135.15%","+73.61%","半导体设备与材料"
"HSBC","汇丰控股","101.830","-1.010","-0.98%","349623370363.37","1750649","177771047.00","101.700","102.600","300","100","101.660","102.840","101.919","101.120","1.12","50.00%","0.78%","16.971","0.05%","0.01%","-0.01%","-3.30%","-4.35%","-0.49%","+9.03%","+29.93%","+52.77%","+34.47%","多元化银行"
"PG","宝洁","146.390","-1.160","-0.79%","340015999753.68","12944276","1894633694.00","146.250","146.700","200","100","146.440","147.550","146.700","145.490","1.50","33.33%","0.82%","22.113","0.56%","0.15%","+0.11%","+0.77%","-0.36%","+2.39%","-3.00%","+4.12%","-3.43%","+4.42%","家庭和个人用品"
"UNH","联合健康","376.900","+1.690","+0.45%","338303497834.30","8616225","3242879969.00","377.000","377.300","80","40","375.290","375.210","378.490","372.420","1.67","33.33%","1.62%","28.488","0.96%","0.13%","-0.21%","+0.03%","-5.42%","-1.46%","-6.55%","+47.24%","+14.92%","+16.43%","医疗计划"
"GE","GE航天航空","314.270","+0.800","+0.26%","326074770960.51","10448530","3278521818.00","314.020","314.640","40","40","313.630","313.470","314.530","309.623","2.10","0.00%","1.57%","39.039","1.01%","0.42%","+0.09%","-2.90%","-5.76%","-8.81%","-14.00%","+11.26%","+4.89%","+2.30%","航空航天与国防"
"MS","摩根士丹利","202.580","-0.940","-0.46%","318165319433.36","7446450","1507683212.00","202.630","202.990","200","100","202.100","203.520","203.050","200.850","1.19","33.33%","1.08%","19.841","0.63%","-0.01%","-0.15%","-5.50%","-6.71%","-2.35%","-7.35%","+29.29%","+29.56%","+15.99%","资本市场"
"HD","家得宝","299.980","-2.530","-0.84%","299286934007.48","8200399","2459272414.00","299.970","300.200","40","1720","298.680","302.510","302.245","298.250","2.04","-95.45%","1.32%","21.080","0.82%","0.07%","-0.04%","-2.84%","-5.69%","-9.66%","-11.86%","-5.35%","-25.79%","-10.93%","家居装修零售"
"NFLX","奈飞","71.790","-3.520","-4.67%","298929229340.04","114413541","8206669725.00","71.910","71.940","200","400","71.270","75.310","72.380","70.110","4.21","-33.33%","3.01%","28.375","2.77%","0.06%","+0.15%","-7.25%","-13.16%","-10.42%","-0.07%","-23.16%","-41.49%","-23.43%","娱乐"
"PANW","Palo Alto Networks","363.580","-11.480","-3.06%","297408440000.00","13800753","5020560360.00","363.000","363.850","200","100","375.075","375.060","376.010","356.000","1.98","33.33%","5.34%","908.950","1.70%","-0.01%","+0.26%","+9.96%","+9.53%","+4.01%","+27.46%","+147.30%","+74.64%","+97.38%","软件基础设施"
"ARM","Arm Holdings","275.610","+10.710","+4.04%","294351480000.00","6963141","1889401486.00","274.960","275.490","100","100","269.270","264.900","275.780","261.655","1.47","0.00%","5.33%","324.247","4.88%","0.20%","+0.80%","+4.09%","+13.61%","+9.93%","-23.25%","+91.22%","+92.86%","+152.14%","半导体"
"PM","菲利普莫里斯","188.620","-1.860","-0.98%","293985666864.18","7805677","1473284566.00","188.300","190.000","100","100","188.000","190.480","191.000","186.560","1.98","0.00%","2.33%","25.980","0.50%","0.07%","-0.18%","-1.28%","+1.32%","-1.51%","+6.38%","+16.29%","+19.95%","+19.63%","烟草"
"BABA","阿里巴巴","113.240","+4.700","+4.33%","281472018049.36","13250900","1496655480.00","114.200","114.300","500","300","110.990","108.540","113.770","110.850","1.79","25.00%","2.69%","17.262","0.56%","0.07%","-0.06%","+3.60%","+1.28%","-13.25%","+13.47%","-6.85%","-29.81%","-22.04%","互联网零售"
"RY","加拿大皇家银行","203.300","-0.270","-0.13%","281454578136.70","1460434","296626292.00","201.200","205.000","100","200","202.530","203.570","203.740","201.450","0.71","-33.33%","1.12%","20.216","0.11%","-0.00%","-0.10%","-1.26%","-4.14%","-0.93%","+1.20%","+30.20%","+41.93%","+21.68%","多元化银行"
"GS","高盛","942.000","-9.470","-1.00%","274283466336.00","3983987","3759383890.00","943.500","944.000","200","320","948.960","951.470","952.990","939.550","1.57","-23.08%","1.41%","18.355","1.38%","-0.08%","-0.06%","-8.47%","-9.24%","-5.52%","-12.10%","+18.42%","+19.32%","+8.74%","资本市场"
"SHEL","壳牌","94.540","-1.280","-1.34%","269986211890.08","4588694","434328759.00","92.740","95.000","100","200","94.495","95.820","95.190","94.180","0.86","-33.33%","1.05%","15.756","0.16%","0.08%","+0.12%","-2.30%","+2.39%","+0.95%","+22.74%","+4.41%","+38.52%","+32.19%","综合油气"
"NVS","诺华制药","140.370","-0.550","-0.39%","266803342090.80","2247928","315305854.00","139.500","141.420","100","200","140.870","140.920","141.150","139.600","1.04","-33.33%","1.10%","19.632","0.12%","-0.07%","+0.02%","+2.34%","-13.93%","-10.16%","-8.33%","-5.27%","+17.64%","+4.89%","一般药品制造商"
"SNDK","闪迪","1791.820","+177.430","+10.99%","262356494371.82","17788393","30856039636.00","1797.980","1798.000","120","840","1625.200","1614.390","1797.000","1616.000","2.07","-75.00%","11.21%","24.292","12.31%","0.41%","+1.08%","+9.70%","+15.23%","+11.95%","-6.41%","+190.96%","+1653.08%","+654.83%","计算机硬件"
"RTX","雷神技术","194.000","+0.460","+0.24%","261465079936.00","9843426","1903600223.00","193.710","193.900","100","100","193.000","193.540","194.000","191.175","2.56","0.00%","1.46%","39.112","0.79%","0.32%","+0.24%","-1.86%","-4.02%","-8.62%","+5.18%","+3.03%","+24.42%","+6.93%","航空航天与国防"
"WFC","富国银行","86.120","-0.770","-0.89%","260426822816.32","25024960","2156012280.00","86.120","86.490","1000","200","86.260","86.890","86.740","85.950","1.76","66.67%","0.91%","13.757","0.83%","0.12%","-0.36%","-4.62%","-3.44%","+2.89%","+2.75%","+12.85%","+3.97%","-6.08%","多元化银行"
"MUFG","三菱日联金融","23.130","-0.370","-1.57%","260345838852.54","2294386","52831501.00","23.100","23.300","100","300","22.940","23.500","23.180","22.790","0.68","-50.00%","1.66%","16.994","0.02%","0.06%","-0.15%","-3.18%","-4.14%","+7.28%","+16.76%","+44.42%","+50.93%","+48.70%","多元化银行"
"AZN","阿斯利康","166.080","-0.060","-0.04%","257572793397.12","3060377","509436334.00","166.300","168.000","200","100","167.150","166.140","167.830","165.540","0.96","33.33%","1.38%","25.394","0.20%","-0.07%","-0.10%","+3.69%","+0.80%","+0.97%","-8.65%","-11.27%","+10.74%","-8.12%","一般药品制造商"
"ANET","Arista Networks","199.390","-0.140","-0.07%","251475582564.72","10722280","2136134493.00","199.670","200.500","100","100","202.350","199.530","202.580","196.890","1.98","0.00%","2.85%","72.505","1.02%","0.10%","+0.28%","-0.10%","+4.15%","+8.51%","+23.28%","+65.10%","+33.27%","+52.17%","计算机硬件"
"GEV","GE Vernova","940.330","+15.400","+1.66%","250441456221.73","4108212","3854327549.00","938.030","939.000","80","40","934.970","924.930","949.510","926.200","1.50","33.33%","2.52%","53.156","1.55%","0.15%","-0.05%","-1.77%","-0.16%","-2.66%","-11.09%","+10.27%","+50.99%","+44.14%","专用工业机械"
"TXN","德州仪器","266.640","+8.500","+3.29%","243508362995.04","19060388","5068050024.00","265.550","266.990","100","200","260.815","258.140","268.280","259.830","3.52","-33.33%","3.27%","48.924","2.09%","0.00%","-0.48%","-0.77%","+5.05%","+0.39%","-11.58%","+41.53%","+52.50%","+56.28%","半导体"
"CRWD","CrowdStrike","237.650","-8.050","-3.28%","243338115201.30","19469030","4646436592.00","237.100","237.280","80","80","246.980","245.700","247.503","234.900","1.27","0.00%","5.13%","亏损","1.99%","-0.01%","-0.09%","+14.95%","+10.55%","+24.86%","+41.24%","+157.21%","+89.16%","+102.79%","软件基础设施"
"SAP","SAP SE","209.450","-4.210","-1.97%","241747190000.00","1890093","397689804.00","209.460","215.000","200","100","212.575","213.660","213.120","209.330","1.18","33.33%","1.77%","29.921","0.18%","-0.02%","-0.03%","+1.50%","-3.49%","-3.52%","+37.12%","+29.93%","-20.16%","-12.27%","应用软件"
"TMO","赛默飞世尔","651.450","-6.870","-1.04%","240871869464.70","4582569","2990085610.00","640.830","660.000","40","40","656.610","658.320","660.100","646.805","1.63","0.00%","2.02%","36.722","1.24%","0.34%","+0.14%","+6.91%","+5.42%","+3.89%","+32.46%","+37.87%","+36.31%","+12.74%","诊断与研究"
"KLAC","科磊","176.990","+8.010","+4.74%","231245715123.17","20072505","3522088103.00","176.850","177.150","50","10","170.500","168.980","177.140","169.720","2.27","66.67%","4.39%","48.357","1.54%","-0.07%","+1.01%","-2.02%","+2.34%","-4.77%","-26.32%","+22.93%","+70.31%","+46.20%","半导体设备与材料"
"TM","丰田汽车","191.530","-2.380","-1.23%","226806640089.98","303880","58255417.00","191.000","193.990","100","100","192.090","193.910","192.380","191.180","0.94","0.00%","0.62%","10.118","0.03%","-0.04%","-0.17%","-3.37%","-4.17%","-0.37%","+14.17%","-5.90%","-0.77%","-9.12%","汽车制造"
"C","花旗集团","131.770","-0.930","-0.70%","221035844895.91","20214385","2666846158.00","132.030","132.100","100","100","132.350","132.700","133.300","131.540","1.85","0.00%","1.33%","18.851","1.21%","0.02%","-0.44%","-5.08%","-4.61%","+1.62%","-7.77%","+23.92%","+31.05%","+14.63%","多元化银行"
"BHP","必和必拓","86.270","-0.290","-0.34%","219253212249.27","2026212","174022132.00","86.000","86.600","400","900","86.440","86.560","86.520","85.335","0.98","-38.46%","1.37%","22.326","0.08%","0.03%","-0.02%","-1.01%","-4.92%","-5.85%","+9.21%","+26.84%","+72.40%","+48.90%","其他工业金属与采矿"
"IBM","IBM Corp","229.550","-8.200","-3.45%","216266949224.50","13413822","3093092442.00","230.040","230.180","600","100","237.850","237.750","237.890","229.380","2.35","71.43%","3.58%","20.550","1.43%","-0.14%","-0.52%","-5.65%","-2.20%","-1.77%","-12.08%","-1.46%","-11.59%","-20.93%","信息技术服务"
"MRVL","迈威尔科技","244.250","+3.490","+1.45%","214182825000.00","23635624","5718700054.00","243.220","243.450","1500","200","242.060","240.760","244.440","235.960","1.28","76.47%","3.52%","79.560","2.70%","-0.07%","+1.54%","+3.45%","+16.96%","-2.69%","-11.71%","+157.62%","+229.61%","+187.84%","半导体"
"LIN","林德气体","460.400","+1.920","+0.42%","212235267045.20","4479190","2058939605.00","460.400","462.400","200","120","458.380","458.480","461.703","454.190","2.71","25.00%","1.64%","31.512","0.97%","0.12%","-0.05%","-1.25%","-4.52%","-4.03%","-10.43%","-5.65%","-2.58%","+9.04%","特殊化工用品"
"AXP","美国运通","311.560","+0.390","+0.13%","210399531569.48","5721176","1780398183.00","311.750","312.000","40","80","309.860","311.170","313.560","308.670","1.83","-33.33%","1.57%","20.257","1.10%","0.13%","-0.43%","-4.04%","-5.54%","-5.92%","-8.80%","+7.23%","-7.69%","-15.10%","信贷"
"AMGN","安进","385.650","+5.870","+1.55%","208494732728.25","8528354","3279323444.00","385.000","385.750","80","40","378.510","379.780","386.500","378.510","3.18","33.33%","2.10%","27.101","1.58%","-0.10%","+0.25%","+2.20%","-13.17%","-10.57%","+10.38%","+12.06%","+38.87%","+20.23%","一般药品制造商"
"SAN","桑坦德银行","14.310","-0.510","-3.44%","207619575848.10","5254510","75399878.00","14.330","14.350","5000","500","14.420","14.820","14.460","14.300","0.73","81.82%","1.08%","13.852","0.04%","-0.20%","-0.24%","-4.34%","-4.92%","+0.70%","+7.03%","+36.01%","+43.31%","+23.49%","多元化银行"
"TTE","道达尔","90.820","-0.770","-0.84%","200624562151.16","986715","89613923.00","88.000","93.940","100","100","90.550","91.590","91.250","90.460","0.70","0.00%","0.86%","15.712","0.05%","0.11%","+0.15%","-1.16%","+1.76%","-0.09%","+16.85%","+3.28%","+61.90%","+42.46%","综合油气"
"TD","多伦多道明银行","122.330","+0.520","+0.43%","200439050630.00","1216881","148264617.00","120.610","123.830","1000","100","121.500","121.810","122.370","120.780","0.52","81.82%","1.31%","14.806","0.08%","-0.08%","+0.08%","+1.12%","-0.79%","+4.69%","+3.64%","+35.84%","+60.67%","+32.85%","多元化银行"
"VZ","Verizon","48.090","-0.240","-0.50%","199803139464.18","45527569","2185723084.00","48.130","48.150","1500","300","47.500","48.330","48.190","47.200","2.12","66.67%","2.05%","11.844","1.10%","-0.17%","-0.10%","-4.98%","-4.94%","-2.24%","+7.07%","-1.32%","+18.16%","+24.00%","电信服务"
"CRM","赛富时","237.920","-4.930","-2.03%","195808160000.00","21962385","5238865648.00","238.400","238.910","200","100","244.250","242.850","244.250","236.545","1.79","33.33%","3.17%","30.502","2.77%","0.16%","+0.02%","-3.79%","-9.87%","+16.02%","+56.02%","+33.60%","-2.89%","-9.57%","应用软件"
"STX","希捷科技","858.790","+55.660","+6.93%","195282846493.06","6976470","5922533791.00","861.000","861.400","40","80","814.690","803.130","872.000","807.030","1.67","-33.33%","8.09%","61.783","3.08%","-0.09%","-0.45%","+3.45%","+7.54%","+1.01%","-13.54%","+126.12%","+291.39%","+212.61%","计算机硬件"
"NVO","诺和诺德","43.240","+0.050","+0.12%","193066600000.00","10370709","448182445.00","43.250","43.340","600","200","43.500","43.190","43.540","42.780","1.01","50.00%","1.76%","12.231","0.33%","0.05%","-0.08%","+0.39%","-8.99%","-6.29%","-7.63%","+25.76%","-26.18%","-10.92%","一般药品制造商"
"APH","安费诺","77.550","-0.820","-1.05%","191235734180.70","29785538","2317330829.00","77.600","78.280","200","100","78.330","78.370","79.300","77.402","3.01","33.33%","2.42%","46.437","1.22%","0.15%","-0.63%","-7.59%","-5.51%","+1.30%","-4.72%","+25.65%","+25.82%","+15.17%","电子元件"
"QCOM","高通","177.720","-10.990","-5.82%","186606000000.00","54480338","9733477983.00","177.980","178.230","100","100","191.340","188.710","192.120","175.970","4.43","0.00%","8.56%","35.473","5.20%","0.03%","-0.51%","-2.34%","+5.43%","+11.17%","-9.48%","+41.10%","+8.73%","+5.52%","半导体"
"GILD","吉利德科学","150.110","-0.780","-0.52%","186129668317.05","16421966","2468937896.00","149.500","151.500","100","100","150.560","150.890","153.230","149.570","3.06","0.00%","2.43%","22.140","1.33%","0.07%","-0.03%","+5.03%","-0.17%","+5.24%","+20.61%","+13.18%","+34.82%","+24.50%","一般药品制造商"
"DE","迪尔股份","683.990","-1.640","-0.24%","184421085553.88","2244950","1534671131.00","678.720","686.000","40","40","684.760","685.630","688.000","679.630","1.86","0.00%","1.22%","36.972","0.83%","0.33%","-0.01%","+1.22%","-1.50%","+10.15%","+14.15%","+21.38%","+47.47%","+47.73%","农业和重型机械"
"ADI","亚德诺","375.720","+13.070","+3.60%","182060936509.80","7705623","2878242283.00","373.900","375.290","40","120","363.125","362.650","376.010","363.125","2.41","-50.00%","3.55%","82.394","1.60%","0.03%","+0.38%","-0.81%","+5.39%","+1.79%","-8.78%","+22.92%","+55.06%","+39.78%","半导体"
"SCHW","嘉信理财","105.250","+0.620","+0.59%","182012583898.50","18104531","1903612413.00","105.350","105.790","600","400","104.680","104.630","105.700","104.205","2.45","20.00%","1.43%","22.634","1.11%","0.13%","-0.12%","-1.86%","-4.65%","-4.14%","+15.50%","+14.70%","+13.00%","+6.39%","资本市场"
"TMUS","T-Mobile US","168.180","+1.730","+1.04%","180401911874.34","12868072","2154679154.00","168.050","168.880","100","100","164.755","166.450","169.490","164.020","2.88","0.00%","3.29%","17.302","2.65%","-0.14%","-0.24%","-7.76%","-10.55%","-6.66%","-6.44%","-19.33%","-27.89%","-15.84%","电信服务"
"ABT","雅培","102.610","+0.380","+0.37%","177554630002.56","27075251","2777104547.00","102.270","103.200","100","1000","101.830","102.230","103.190","101.500","3.63","-81.82%","1.65%","27.583","1.57%","0.21%","+0.20%","+0.65%","-5.68%","-10.10%","+14.20%","0.00%","-22.83%","-16.58%","医疗设备"
